Ratio_1_FI,Ratio_1_PI,std_actual_tour_length,Ratio_2_FI,Ratio_2_PI,Ratio_2_NI,Ratio_4_FI,Ratio_4_PI,Ratio_4_NI
,166.3899841,277.4663429,137.5970459,165.1555272,207.7312078,138.8517609,144.8312982,212.5093088
,154.2837422,277.4663429,126.812973,164.7677746,231.5856495,134.1925049,141.1595764,223.4100027
,159.2017353,281.2836704,133.2031555,171.1793258,214.7125673,142.5982208,152.3884735,209.3014598
,137.6313171,239.5090551,134.3863525,155.7807159,213.322475,140.8535767,130.2974548,197.6726723
,153.9631948,231.8266239,135.3145447,169.1318617,198.8472934,147.5811005,153.6446793,198.3706002
,144.9422977,219.6344433,134.552948,159.4133652,174.3576658,146.0984039,137.8929596,150.8760415
,102.7184143,231.7813931,125.8767471,133.0738495,219.4804006,138.1991577,125.1081696,145.4994227
,101.4367065,191.5879111,119.5028076,156.9096375,191.5399637,129.6233521,137.4642029,150.1228839
,99.08042908,226.1211061,121.1535721,124.0078354,158.2550073,136.14505,138.7954865,147.2297536
,126.0475121,207.2948408,127.9527435,120.0423279,201.6737413,122.1088257,129.8987579,144.625123
,126.9371948,203.6854153,123.359314,127.7968674,176.2859778,128.1156769,129.0316772,180.8779941
,126.7601166,215.814404,121.249939,132.7078552,156.8336468,129.4668274,124.4054794,148.9424876
,111.7370834,194.0654655,121.2200165,128.681488,158.9522519,134.7773743,119.4405823,138.0436754
,139.8151153,144.7324326,122.1130981,123.5781186,147.4535289,134.6590576,122.9445114,170.8853252
,142.747757,182.0586324,114.8705444,113.8103867,145.5432838,134.0854187,130.4252777,142.0571028
